id,category,error_name,error_code,symptoms,probable_causes,step_1,step_2,step_3,verification,risk,sources
BSOD-001,BSOD,SYSTEM_SERVICE_EXCEPTION,SYSTEM_SERVICE_EXCEPTION,Blue screen displaying SYSTEM_SERVICE_EXCEPTION (SYSTEM_SERVICE_EXCEPTION) after boot,Bad RAM or memory corruption,Run DISM to repair component store: `DISM /Online /Cleanup-Image /RestoreHealth`,"Check disk: `chkdsk /f /r`, and ensure backups",Boot into Safe Mode; run System File Checker: `sfc /scannow`,Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,high,Microsoft Support / Vendor KB (paraphrased)
BSOD-002,BSOD,SYSTEM_SERVICE_EXCEPTION,SYSTEM_SERVICE_EXCEPTION,Blue screen displaying SYSTEM_SERVICE_EXCEPTION (SYSTEM_SERVICE_EXCEPTION) after boot,Overheating or hardware incompatibility,Run memory diagnostic (Windows Memory Diagnostic) and test RAM,Boot into Safe Mode; run System File Checker: `sfc /scannow`,"Check disk: `chkdsk /f /r`, and ensure backups",Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,low,Microsoft Support / Vendor KB (paraphrased)
BSOD-003,BSOD,INACCESSIBLE_BOOT_DEVICE,INACCESSIBLE_BOOT_DEVICE,System crashes to BSOD with INACCESSIBLE_BOOT_DEVICE when starting application,Overheating or hardware incompatibility,"Check disk: `chkdsk /f /r`, and ensure backups",Boot into Safe Mode; run System File Checker: `sfc /scannow`,Update or roll back the suspected device driver via Device Manager,Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,low,Microsoft Support / Vendor KB (paraphrased)
BSOD-004,BSOD,CRITICAL_STRUCTURE_CORRUPTION,CRITICAL_STRUCTURE_CORRUPTION,Crash with message CRITICAL_STRUCTURE_CORRUPTION during driver update,Faulty or outdated device driver,Run memory diagnostic (Windows Memory Diagnostic) and test RAM,Update or roll back the suspected device driver via Device Manager,Boot into Safe Mode; run System File Checker: `sfc /scannow`,Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,low,Microsoft Support / Vendor KB (paraphrased)
BSOD-005,BSOD,THREAD_STUCK_IN_DEVICE_DRIVER,THREAD_STUCK_IN_DEVICE_DRIVER,Random restart and BSOD showing THREAD_STUCK_IN_DEVICE_DRIVER code THREAD_STUCK_IN_DEVICE_DRIVER,Bad RAM or memory corruption,Run DISM to repair component store: `DISM /Online /Cleanup-Image /RestoreHealth`,"Check disk: `chkdsk /f /r`, and ensure backups",Run memory diagnostic (Windows Memory Diagnostic) and test RAM,Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,low,Microsoft Support / Vendor KB (paraphrased)
BSOD-006,BSOD,PAGE_FAULT_IN_NONPAGED_AREA,PAGE_FAULT_IN_NONPAGED_AREA,Crash with message PAGE_FAULT_IN_NONPAGED_AREA during driver update,Corrupted system files or recent update,Update or roll back the suspected device driver via Device Manager,"Check disk: `chkdsk /f /r`, and ensure backups",Run memory diagnostic (Windows Memory Diagnostic) and test RAM,Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,medium,Microsoft Support / Vendor KB (paraphrased)
BSOD-007,BSOD,IRQL_NOT_LESS_OR_EQUAL,IRQL_NOT_LESS_OR_EQUAL,Crash with message IRQL_NOT_LESS_OR_EQUAL during driver update,Overheating or hardware incompatibility,Boot into Safe Mode; run System File Checker: `sfc /scannow`,Run memory diagnostic (Windows Memory Diagnostic) and test RAM,"Check disk: `chkdsk /f /r`, and ensure backups",Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,high,Microsoft Support / Vendor KB (paraphrased)
BSOD-008,BSOD,BAD_POOL_HEADER,BAD_POOL_HEADER,Random restart and BSOD showing BAD_POOL_HEADER code BAD_POOL_HEADER,Overheating or hardware incompatibility,Run DISM to repair component store: `DISM /Online /Cleanup-Image /RestoreHealth`,Boot into Safe Mode; run System File Checker: `sfc /scannow`,Run memory diagnostic (Windows Memory Diagnostic) and test RAM,Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,high,Microsoft Support / Vendor KB (paraphrased)
BSOD-009,BSOD,PFN_LIST_CORRUPT,PFN_LIST_CORRUPT,Random restart and BSOD showing PFN_LIST_CORRUPT code PFN_LIST_CORRUPT,Corrupted system files or recent update,Run DISM to repair component store: `DISM /Online /Cleanup-Image /RestoreHealth`,Boot into Safe Mode; run System File Checker: `sfc /scannow`,"Check disk: `chkdsk /f /r`, and ensure backups",Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,medium,Microsoft Support / Vendor KB (paraphrased)
BSOD-010,BSOD,KMODE_EXCEPTION_NOT_HANDLED,KMODE_EXCEPTION_NOT_HANDLED,Random restart and BSOD showing KMODE_EXCEPTION_NOT_HANDLED code KMODE_EXCEPTION_NOT_HANDLED,Faulty or outdated device driver,Update or roll back the suspected device driver via Device Manager,"Check disk: `chkdsk /f /r`, and ensure backups",Boot into Safe Mode; run System File Checker: `sfc /scannow`,Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,high,Microsoft Support / Vendor KB (paraphrased)
BSOD-011,BSOD,UNMOUNTABLE_BOOT_VOLUME,UNMOUNTABLE_BOOT_VOLUME,Blue screen displaying UNMOUNTABLE_BOOT_VOLUME (UNMOUNTABLE_BOOT_VOLUME) after boot,Overheating or hardware incompatibility,Run DISM to repair component store: `DISM /Online /Cleanup-Image /RestoreHealth`,"Check disk: `chkdsk /f /r`, and ensure backups",Boot into Safe Mode; run System File Checker: `sfc /scannow`,Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,medium,Microsoft Support / Vendor KB (paraphrased)
BSOD-012,BSOD,DPC_WATCHDOG_VIOLATION,DPC_WATCHDOG_VIOLATION,Random restart and BSOD showing DPC_WATCHDOG_VIOLATION code DPC_WATCHDOG_VIOLATION,Overheating or hardware incompatibility,Run DISM to repair component store: `DISM /Online /Cleanup-Image /RestoreHealth`,Update or roll back the suspected device driver via Device Manager,Boot into Safe Mode; run System File Checker: `sfc /scannow`,Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,low,Microsoft Support / Vendor KB (paraphrased)
BSOD-013,BSOD,IRQL_NOT_LESS_OR_EQUAL,IRQL_NOT_LESS_OR_EQUAL,Random restart and BSOD showing IRQL_NOT_LESS_OR_EQUAL code IRQL_NOT_LESS_OR_EQUAL,Disk errors or file system corruption,Update or roll back the suspected device driver via Device Manager,Boot into Safe Mode; run System File Checker: `sfc /scannow`,Run memory diagnostic (Windows Memory Diagnostic) and test RAM,Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,high,Microsoft Support / Vendor KB (paraphrased)
BSOD-014,BSOD,DRIVER_IRQL_NOT_LESS_OR_EQUAL,DRIVER_IRQL_NOT_LESS_OR_EQUAL,System crashes to BSOD with DRIVER_IRQL_NOT_LESS_OR_EQUAL when starting application,Disk errors or file system corruption,Run memory diagnostic (Windows Memory Diagnostic) and test RAM,"Check disk: `chkdsk /f /r`, and ensure backups",Boot into Safe Mode; run System File Checker: `sfc /scannow`,Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,medium,Microsoft Support / Vendor KB (paraphrased)
BSOD-015,BSOD,KERNEL_SECURITY_CHECK_FAILURE,KERNEL_SECURITY_CHECK_FAILURE,System crashes to BSOD with KERNEL_SECURITY_CHECK_FAILURE when starting application,Overheating or hardware incompatibility,"Check disk: `chkdsk /f /r`, and ensure backups",Update or roll back the suspected device driver via Device Manager,Run memory diagnostic (Windows Memory Diagnostic) and test RAM,Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,high,Microsoft Support / Vendor KB (paraphrased)
BSOD-016,BSOD,THREAD_STUCK_IN_DEVICE_DRIVER,THREAD_STUCK_IN_DEVICE_DRIVER,Crash with message THREAD_STUCK_IN_DEVICE_DRIVER during driver update,Bad RAM or memory corruption,Run DISM to repair component store: `DISM /Online /Cleanup-Image /RestoreHealth`,"Check disk: `chkdsk /f /r`, and ensure backups",Update or roll back the suspected device driver via Device Manager,Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,medium,Microsoft Support / Vendor KB (paraphrased)
BSOD-017,BSOD,PAGE_FAULT_IN_NONPAGED_AREA,PAGE_FAULT_IN_NONPAGED_AREA,Blue screen displaying PAGE_FAULT_IN_NONPAGED_AREA (PAGE_FAULT_IN_NONPAGED_AREA) after boot,Corrupted system files or recent update,Run DISM to repair component store: `DISM /Online /Cleanup-Image /RestoreHealth`,"Check disk: `chkdsk /f /r`, and ensure backups",Update or roll back the suspected device driver via Device Manager,Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,medium,Microsoft Support / Vendor KB (paraphrased)
BSOD-018,BSOD,WHEA_UNCORRECTABLE_ERROR,WHEA_UNCORRECTABLE_ERROR,Blue screen displaying WHEA_UNCORRECTABLE_ERROR (WHEA_UNCORRECTABLE_ERROR) after boot,Disk errors or file system corruption,Run memory diagnostic (Windows Memory Diagnostic) and test RAM,"Check disk: `chkdsk /f /r`, and ensure backups",Update or roll back the suspected device driver via Device Manager,Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,medium,Microsoft Support / Vendor KB (paraphrased)
BSOD-019,BSOD,CRITICAL_STRUCTURE_CORRUPTION,CRITICAL_STRUCTURE_CORRUPTION,Blue screen displaying CRITICAL_STRUCTURE_CORRUPTION (CRITICAL_STRUCTURE_CORRUPTION) after boot,Corrupted system files or recent update,"Check disk: `chkdsk /f /r`, and ensure backups",Update or roll back the suspected device driver via Device Manager,Run memory diagnostic (Windows Memory Diagnostic) and test RAM,Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,medium,Microsoft Support / Vendor KB (paraphrased)
BSOD-020,BSOD,SYSTEM_SERVICE_EXCEPTION,SYSTEM_SERVICE_EXCEPTION,Random restart and BSOD showing SYSTEM_SERVICE_EXCEPTION code SYSTEM_SERVICE_EXCEPTION,Disk errors or file system corruption,Run DISM to repair component store: `DISM /Online /Cleanup-Image /RestoreHealth`,Run memory diagnostic (Windows Memory Diagnostic) and test RAM,Boot into Safe Mode; run System File Checker: `sfc /scannow`,Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,high,Microsoft Support / Vendor KB (paraphrased)
